Library	SampleID	Species	tissue	light	nutrient	genotype	treatment_1	treatment_2	time	rep	project	exp	included
3362_A	242-129E-1	Arabidopsis thaliana	Root	Normal	Normal	CS60000	R129_E	mock	12	1	Alphaproteobacteria	1	TRUE
3362_B	242-13A-1	Arabidopsis thaliana	Root	Normal	Normal	CS60000	R13_A	mock	12	1	Alphaproteobacteria	1	TRUE
3362_C	242-142-1	Arabidopsis thaliana	Root	Normal	Normal	CS60000	Root142	mock	12	1	Alphaproteobacteria	1	TRUE
3362_D	242-491-1	Arabidopsis thaliana	Root	Normal	Normal	CS60000	Root491	mock	12	1	Alphaproteobacteria	1	TRUE
3362_E	242-mock-1	Arabidopsis thaliana	Root	Normal	Normal	CS60000	axenic	mock	12	1	Alphaproteobacteria	1	TRUE
3362_F	242-129E-2	Arabidopsis thaliana	Root	Normal	Normal	CS60000	R129_E	mock	12	2	Alphaproteobacteria	1	TRUE
3362_G	242-13A-2	Arabidopsis thaliana	Root	Normal	Normal	CS60000	R13_A	mock	12	2	Alphaproteobacteria	1	TRUE
3362_H	242-142-2	Arabidopsis thaliana	Root	Normal	Normal	CS60000	Root142	mock	12	2	Alphaproteobacteria	1	TRUE
3362_I	242-491-2	Arabidopsis thaliana	Root	Normal	Normal	CS60000	Root491	mock	12	2	Alphaproteobacteria	1	TRUE
3362_J	242-mock-2	Arabidopsis thaliana	Root	Normal	Normal	CS60000	axenic	mock	12	2	Alphaproteobacteria	1	TRUE
3362_K	242-129E-3	Arabidopsis thaliana	Root	Normal	Normal	CS60000	R129_E	mock	12	3	Alphaproteobacteria	1	TRUE
3362_L	242-13A-3	Arabidopsis thaliana	Root	Normal	Normal	CS60000	R13_A	mock	12	3	Alphaproteobacteria	1	TRUE
3362_M	242-142-3	Arabidopsis thaliana	Root	Normal	Normal	CS60000	Root142	mock	12	3	Alphaproteobacteria	1	TRUE
3362_N	242-491-3	Arabidopsis thaliana	Root	Normal	Normal	CS60000	Root491	mock	12	3	Alphaproteobacteria	1	TRUE
3362_O	242-mock-3	Arabidopsis thaliana	Root	Normal	Normal	CS60000	axenic	mock	12	3	Alphaproteobacteria	1	TRUE
3598_A	242-1497-1	Arabidopsis thaliana	Root	Normal	Normal	CS60000	Root1497	mock	12	1	Alphaproteobacteria	1	TRUE
3598_B	242-1497-2	Arabidopsis thaliana	Root	Normal	Normal	CS60000	Root1497	mock	12	2	Alphaproteobacteria	1	TRUE
3598_C	242-1497-3	Arabidopsis thaliana	Root	Normal	Normal	CS60000	Root1497	mock	12	3	Alphaproteobacteria	1	TRUE
3598_D	242-700-1	Arabidopsis thaliana	Root	Normal	Normal	CS60000	Root700	mock	12	1	Alphaproteobacteria	1	TRUE
3598_E	242-700-2	Arabidopsis thaliana	Root	Normal	Normal	CS60000	Root700	mock	12	2	Alphaproteobacteria	1	TRUE
3598_F	242-700-3	Arabidopsis thaliana	Root	Normal	Normal	CS60000	Root700	mock	12	3	Alphaproteobacteria	1	TRUE
3989_A	3989_A	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	7	1	CJ	1	TRUE
3989_B	3989_B	Arabidopsis thaliana	Root	Normal	Normal	f6h1	axenic	mock	7	1	CJ	1	TRUE
3989_C	3989_C	Arabidopsis thaliana	Root	Normal	Normal	Col-0	B-SynCom	mock	7	1	CJ	1	TRUE
3989_D	3989_D	Arabidopsis thaliana	Root	Normal	Normal	f6h1	B-SynCom	mock	7	1	CJ	1	TRUE
3989_E	3989_E	Arabidopsis thaliana	Root	Normal	low_Fe	Col-0	axenic	mock	7	1	CJ	1	TRUE
3989_F	3989_F	Arabidopsis thaliana	Root	Normal	low_Fe	f6h1	axenic	mock	7	1	CJ	1	TRUE
3989_G	3989_G	Arabidopsis thaliana	Root	Normal	low_Fe	Col-0	B-SynCom	mock	7	1	CJ	1	TRUE
3989_H	3989_H	Arabidopsis thaliana	Root	Normal	low_Fe	f6h1	B-SynCom	mock	7	1	CJ	1	TRUE
3989_I	3989_I	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	7	2	CJ	1	TRUE
3989_J	3989_J	Arabidopsis thaliana	Root	Normal	Normal	f6h1	axenic	mock	7	2	CJ	1	TRUE
3989_K	3989_K	Arabidopsis thaliana	Root	Normal	Normal	Col-0	B-SynCom	mock	7	2	CJ	1	TRUE
3989_L	3989_L	Arabidopsis thaliana	Root	Normal	Normal	f6h1	B-SynCom	mock	7	2	CJ	1	TRUE
3989_M	3989_M	Arabidopsis thaliana	Root	Normal	low_Fe	Col-0	axenic	mock	7	2	CJ	1	TRUE
3989_N	3989_N	Arabidopsis thaliana	Root	Normal	low_Fe	f6h1	axenic	mock	7	2	CJ	1	TRUE
3989_O	3989_O	Arabidopsis thaliana	Root	Normal	low_Fe	Col-0	B-SynCom	mock	7	2	CJ	1	TRUE
3989_P	3989_P	Arabidopsis thaliana	Root	Normal	low_Fe	f6h1	B-SynCom	mock	7	2	CJ	1	TRUE
3989_Q	3989_Q	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	7	3	CJ	1	TRUE
3989_R	3989_R	Arabidopsis thaliana	Root	Normal	Normal	f6h1	axenic	mock	7	3	CJ	1	TRUE
3989_S	3989_S	Arabidopsis thaliana	Root	Normal	Normal	Col-0	B-SynCom	mock	7	3	CJ	1	TRUE
3989_T	3989_T	Arabidopsis thaliana	Root	Normal	Normal	f6h1	B-SynCom	mock	7	3	CJ	1	TRUE
3989_U	3989_U	Arabidopsis thaliana	Root	Normal	low_Fe	Col-0	axenic	mock	7	3	CJ	1	TRUE
3989_V	3989_V	Arabidopsis thaliana	Root	Normal	low_Fe	f6h1	axenic	mock	7	3	CJ	1	TRUE
3989_W	3989_W	Arabidopsis thaliana	Root	Normal	low_Fe	Col-0	B-SynCom	mock	7	3	CJ	1	TRUE
3989_X	3989_X	Arabidopsis thaliana	Root	Normal	low_Fe	f6h1	B-SynCom	mock	7	3	CJ	1	TRUE
4206_A	4206_A	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	7	4	CJ	2	TRUE
4206_B	4206_B	Arabidopsis thaliana	Root	Normal	Normal	Col-0	B-SynCom	mock	7	4	CJ	2	TRUE
4206_C	4206_C	Arabidopsis thaliana	Root	Normal	low_Fe	Col-0	axenic	mock	7	4	CJ	2	TRUE
4206_D	4206_D	Arabidopsis thaliana	Root	Normal	low_Fe	Col-0	B-SynCom	mock	7	4	CJ	2	TRUE
4206_E	4206_E	Arabidopsis thaliana	Root	Normal	Normal	f6h1	axenic	mock	7	4	CJ	2	TRUE
4206_F	4206_F	Arabidopsis thaliana	Root	Normal	Normal	f6h1	B-SynCom	mock	7	4	CJ	2	TRUE
4206_G	4206_G	Arabidopsis thaliana	Root	Normal	low_Fe	f6h1	axenic	mock	7	4	CJ	2	TRUE
4206_H	4206_H	Arabidopsis thaliana	Root	Normal	low_Fe	f6h1	B-SynCom	mock	7	4	CJ	2	TRUE
4206_I	4206_I	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	7	5	CJ	2	TRUE
4206_J	4206_J	Arabidopsis thaliana	Root	Normal	Normal	Col-0	B-SynCom	mock	7	5	CJ	2	TRUE
4206_K	4206_K	Arabidopsis thaliana	Root	Normal	low_Fe	Col-0	axenic	mock	7	5	CJ	2	TRUE
4206_L	4206_L	Arabidopsis thaliana	Root	Normal	low_Fe	Col-0	B-SynCom	mock	7	5	CJ	2	TRUE
4206_M	4206_M	Arabidopsis thaliana	Root	Normal	Normal	f6h1	axenic	mock	7	5	CJ	2	TRUE
4206_N	4206_N	Arabidopsis thaliana	Root	Normal	Normal	f6h1	B-SynCom	mock	7	5	CJ	2	TRUE
4206_O	4206_O	Arabidopsis thaliana	Root	Normal	low_Fe	f6h1	axenic	mock	7	5	CJ	2	TRUE
4206_P	4206_P	Arabidopsis thaliana	Root	Normal	low_Fe	f6h1	B-SynCom	mock	7	5	CJ	2	TRUE
4206_Q	4206_Q	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	7	6	CJ	2	TRUE
4206_R	4206_R	Arabidopsis thaliana	Root	Normal	Normal	Col-0	B-SynCom	mock	7	6	CJ	2	TRUE
4206_S	4206_S	Arabidopsis thaliana	Root	Normal	low_Fe	Col-0	axenic	mock	7	6	CJ	2	TRUE
4206_T	4206_T	Arabidopsis thaliana	Root	Normal	low_Fe	Col-0	B-SynCom	mock	7	6	CJ	2	TRUE
4206_U	4206_U	Arabidopsis thaliana	Root	Normal	Normal	f6h1	axenic	mock	7	6	CJ	2	TRUE
4206_V	4206_V	Arabidopsis thaliana	Root	Normal	Normal	f6h1	B-SynCom	mock	7	6	CJ	2	TRUE
4206_W	4206_W	Arabidopsis thaliana	Root	Normal	low_Fe	f6h1	axenic	mock	7	6	CJ	2	TRUE
4206_X	4206_X	Arabidopsis thaliana	Root	Normal	low_Fe	f6h1	B-SynCom	mock	7	6	CJ	2	TRUE
